,timestamp,ID,r_len,P1_isanormalperson,P1_age,P1_gender,P1_nationality,P1_r_type,P1_IOS,P2_isanormalperson,P2_age,P2_gender,P2_nationality,P2_r_type,P2_IOS,key_press,rt,trial_stim
0,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002343330124859,BL
1,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002674589923117,YR
2,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5004186250152998,YM
3,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500322000007145,YL
4,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003020000003744,YL
5,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002288749965373,BL
6,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003419580170885,YL
7,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002177080023102,BR
8,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5001809170062188,BR
9,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500375083007384,BM
10,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5001932499872055,YL
11,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500285541987978,YR
12,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002148329804186,BL
13,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002379159850534,BR
14,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002782920200843,BR
15,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.50033020900446,YL
16,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003266659914516,BR
17,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500320625025779,YL
18,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002128339838237,BM
19,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500338791985996,BR
20,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002634999982547,BL
21,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003422499867156,YL
22,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002627499925438,YR
23,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002365419932175,BR
24,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5004076659970451,YL
25,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003669159777928,BL
26,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003100839967374,BR
27,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002925830194727,YM
28,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500312332995236,BL
29,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003797500103246,YR
30,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500378916010959,YL
31,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002797080087475,YR
32,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003981250047218,BL
33,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5001833330024965,BL
34,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002927089808509,YL
35,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003490829840302,BL
36,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003334999782965,YR
37,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500393875001464,BR
38,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002721670025494,YM
39,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5001800419995561,BL
40,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500252375000855,BR
41,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.500350874994183,BL
42,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002725840022322,YM
43,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003054170229007,BM
44,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5002351670118514,YL
45,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003170419950038,BM
46,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003809579939116,YL
47,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5001967909920495,BM
48,2022_Jan_20_1337,12079,23,Yes,23,Other,23rwefw,Family,3,Yes,34,Male,wefwef,Family,3,none,1.5003267920110375,YR
