,timestamp,ID,r_len,P1_isanormalperson,P1_age,P1_gender,P1_nationality,P1_r_type,P1_IOS,P2_isanormalperson,P2_age,P2_gender,P2_nationality,P2_r_type,P2_IOS,key_press,rt,trial_stim
0,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.8366339000640437,BM
1,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.2605214000213891,BL
2,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.18784589995630085,BR
3,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.8500392999267206,YL
4,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.383621699991636,YR
5,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.41861719998996705,BL
6,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.3738358999835327,BM
7,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.4006749999243766,YL
8,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.38343199994415045,YL
9,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.37365099997259676,YL
10,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.4055320000043139,YR
11,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.2639814999420196,YL
12,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.35634790000040084,YL
13,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.35068040003534406,BL
14,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.31239190010819584,BM
15,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.3613404000643641,YR
16,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.4103405000641942,YR
17,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.3577058999799192,YL
18,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.4742384999990463,BL
19,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.4940103000262752,YM
20,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,1.0717193000018597,YL
21,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.602460200083442,YR
22,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.5693225000286475,BM
23,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.42487340001389384,BL
24,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.3562578000128269,BL
25,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.3437697999179363,BL
26,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,w,0.46250340004917234,YM
27,2022_Jan_20_1411,73906,8,Yes,77,Male,hh,Romantic,2,Yes,78,-,687,-,6,p,0.6535807000473142,BR
